species,common_name,status,count,url
Asio flammeus,Short-eared owl,Common,21410,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208596/Asio_flammeus_omei2r.png
Chlidonias niger,Black tern,Common,19820,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208692/Chlidonias_niger_g5cv4f.png
Picus viridis,European green woodpecker,Common,45802,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208888/Picus_viridis_xwdwgm.png
Columba oenas,Stock dove,Migrating,86658,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208707/Columba_oenas_efoxvb.png
Himantopus himantopus,Black-winged stilt,Common,4512,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208773/Himantopus_himantopus_bnxeqi.png
Acrocephalus scirpaceus,Common reed warbler,Migrating,98984,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208508/Acrocephalus_scirpaceus_qm9xra.png
Luscinia svecica,Bluethroat,Migrating,9373,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208827/Luscinia_svecica_ddqsig.png
Plectrophenax nivalis,Snow bunting,Common,33675,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208889/Plectrophenax_nivalis_ll5sci.png
Alca torda,Razorbill,Extinct,44691,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208514/Alca_torda_uarnd8.png
Anthus petrosus,European rock pipit,Migrating,52045,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208576/Anthus_petrosus_sloybf.png
Alle alle,Unknown,Unknown,6472,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208517/Alle_alle_qt5wyv.png
Certhia familiaris,Eurasian treecreeper,Endangered,69164,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208685/Certhia_familiaris_mzlvwy.png
Clangula hyemalis,Long-tailed duck,Common,42411,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208705/Clangula_hyemalis_dkokjp.png
Apus pallidus,Pallid swift,Common,474,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208582/Apus_pallidus_vk5dsi.png
Pandion haliaetus,Osprey,Common,101772,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208860/Pandion_haliaetus_s22z0i.png
Turdus iliacus,Redwing,Common,97353,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208952/Turdus_iliacus_ehvi9l.png
Asio otus,Unknown,Unknown,18352,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208598/Asio_otus_r3mdid.png
Anser fabalis,Taiga bean goose,Migrating,11742,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208537/Anser_fabalis_choejb.png
Coturnix coturnix,Common quail,Migrating,17321,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208713/Coturnix_coturnix_azfyje.png
Phylloscopus sibillatrix,Wood warbler,Migrating,23546,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208885/Phylloscopus_sibillatrix_dzyzqv.png
Calidris minuta,Little stint,Common,25170,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208672/Calidris_minuta_wx8j9y.png
Limosa lapponica,Bar-tailed godwit,Migrating,76525,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208811/Limosa_lapponica_z5wexb.png
Streptopelia orientalis,Oriental turtle dove,Common,116,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208929/Streptopelia_orientalis_fe7d9r.png
Egretta garzetta,Little egret,Extinct,6234,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208726/Egretta_garzetta_dbaljk.png
Cygnus atratus,Black swan,Exotic,2890,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208719/Cygnus_atratus_cw2puh.png
Carpodacus erythrinus,Common rosefinch,Common,12000,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208679/Carpodacus_erythrinus_eynisy.png
Lanius excubitor,Great grey shrike,Common,45771,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208785/Lanius_excubitor_swjlpl.png
Milvus migrans,Black kite,Migrating,18844,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208840/Milvus_migrans_ochpgh.png
Caprimulgus europaeus,European nightjar,Migrating,9936,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208678/Caprimulgus_europaeus_ndmjom.png
Netta rufina,Red-crested pochard,Migrating,8524,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208847/Netta_rufina_qgoyix.png
Ciconia ciconia,White stork,Common,19258,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208697/Ciconia_ciconia_zdezva.png
Saxicola rubetra,Whinchat,Migrating,50592,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208913/Saxicola_rubetra_zaqtuw.png
Dryobates minor,Lesser spotted woodpecker,Common,10440,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208725/Dryobates_minor_dzw3ew.png
Bombycilla garrulus,Bohemian waxwing,Common,58643,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208610/Bombycilla_garrulus_obfgcx.png
Calidris melanotos,Pectoral sandpiper,Migrating,1365,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208672/Calidris_melanotos_e2u4hm.png
Branta bernicla,Brant (goose),Common,21816,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208615/Branta_bernicla_z0jpe0.png
Podiceps nigricollis,Black-necked grebe,Migrating,25528,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208895/Podiceps_nigricollis_j3klna.png
Aythya collaris,Ring-necked duck,Common,3095,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208601/Aythya_collaris_stidpu.png
Gavia immer,Common loon,Endangered,7100,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208759/Gavia_immer_bvblfo.png
Turdus torquatus,Ring ouzel,Migrating,25185,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208955/Turdus_torquatus_zt5qle.png
Loxia pytyopsittacus,Parrot crossbill,Common,8131,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208824/Loxia_pytyopsittacus_xjiuph.png
Eremophila alpestris,Horned lark,Common,16127,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208738/Eremophila_alpestris_cq2pyq.png
Acrocephalus dumetorum,Blyth's reed warbler,Common,1901,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208506/Acrocephalus_dumetorum_fihg6j.png
Dryocopus martius,Black woodpecker,Migrating,32981,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208725/Dryocopus_martius_tpbowk.png
Oenanthe hispanica,Western black-eared wheatear,Migrating,391,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208852/Oenanthe_hispanica_rah2bp.png
Melanitta americana,Black scoter,Endangered,2549,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208832/Melanitta_americana_o1rvcq.png
Phoenicurus ochruros,Black redstart,Common,44665,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208875/Phoenicurus_ochruros_ohvocm.png
Jynx torquilla,Eurasian wryneck,Migrating,9104,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208783/Jynx_torquilla_htds9d.png
Locustella fluviatilis,River warbler,Migrating,1726,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208819/Locustella_fluviatilis_qfkppp.png
Oriolus oriolus,Eurasian golden oriole,Common,4448,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208856/Oriolus_oriolus_mafdbd.png
Glareola maldivarum,Oriental pratincole,Common,153,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208763/Glareola_maldivarum_on5may.png
Anser serrirostris,Tundra bean goose,Migrating,9406,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208539/Anser_serrirostris_xqrtll.png
Porzana pusilla,Baillon's crake,Common,601,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208899/Porzana_pusilla_n3ezw6.png
Ficedula parva,Red-breasted flycatcher,Migrating,4920,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208750/Ficedula_parva_nw3clw.png
Aquila nipalensis,Steppe eagle,Endangered,1957,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208586/Aquila_nipalensis_rbqwvz.png
Remiz pendulinus,Eurasian penduline tit,Migrating,2767,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208909/Remiz_pendulinus_lvvp5a.png
Pastor roseus,Rosy starling,Common,963,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208864/Pastor_roseus_tjq6lh.png
Somateria spectabilis,King eider,Common,2033,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208919/Somateria_spectabilis_gvnrjx.png
Nucifraga caryocatactes,Northern nutcracker,Common,2627,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208847/Nucifraga_caryocatactes_j7vec6.png
Phylloscopus proregulus,Pallas's leaf warbler,Migrating,1221,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208883/Phylloscopus_proregulus_fn1dzi.png
Circus pygargus,Montagu's harrier,Migrating,19325,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208702/Circus_pygargus_jzrx9z.png
Stercorarius longicaudus,Long-tailed jaeger,Common,1805,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208923/Stercorarius_longicaudus_uiifiv.png
Larus michahellis,Yellow-legged gull,Common,1872,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208795/Larus_michahellis_gpzfvf.png
Podiceps auritus,Horned grebe,Endangered,10438,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208893/Podiceps_auritus_dzgdhu.png
Phylloscopus humei,Hume's leaf warbler,Migrating,821,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208879/Phylloscopus_humei_pgasov.png
Alopochen aegyptiaca,Egyptian goose,Exotic,15989,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208518/Alopochen_aegyptiaca_ec8gik.png
Charadrius morinellus,Eurasian dotterel,Migrating,6625,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208690/Charadrius_morinellus_wabygi.png
Oxyura leucocephala,White-headed duck,Endangered,612,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208858/Oxyura_leucocephala_oomcra.png
Aix galericulata,Mandarin duck,Exotic,2991,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208512/Aix_galericulata_gccm6p.png
Anthus cervinus,Red-throated pipit,Common,1202,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208552/Anthus_cervinus_tqztup.png
Ciconia nigra,Black stork,Endangered,1915,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208698/Ciconia_nigra_klyhry.png
Acrocephalus arundinaceus,Great reed warbler,Migrating,5360,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208505/Acrocephalus_arundinaceus_mthhex.png
Poecile montanus,Willow tit,Common,6340,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208896/Poecile_montanus_hrhvud.png
Falco rusticolus,Gyrfalcon,Common,1610,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208744/Falco_rusticolus_p9zdug.png
Anthus richardi,Richard's pipit,Common,1103,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208577/Anthus_richardi_btfmaf.png
Corvus corone,Carrion crow,Common,15727,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208711/Corvus_corone_h05ves.png
Larus hyperboreus,Glaucous gull,Common,3818,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208793/Larus_hyperboreus_t0alcr.png
Gavia adamsii,Yellow-billed loon,Common,1075,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208758/Gavia_adamsii_ivar3z.png
Falco vespertinus,Red-footed falcon,Migrating,5856,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208747/Falco_vespertinus_pq5hoj.png
Pluvialis dominica,American golden plover,Common,488,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208891/Pluvialis_dominica_mcmisy.png
Anser caerulescens,Snow goose,Common,2037,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208534/Anser_caerulescens_ihsz9l.png
Phalaropus tricolor,Wilson's phalarope,Migrating,208,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208872/Phalaropus_tricolor_bixur0.png
Bubo bubo,Eurasian eagle-owl,Common,3409,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208621/Bubo_bubo_loescs.png
Plegadis falcinellus,Glossy ibis,Common,1892,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208890/Plegadis_falcinellus_jkfrtn.png
Dendrocoptes medius,Middle spotted woodpecker,Common,1528,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208724/Dendrocoptes_medius_ckvtux.png
Calcarius lapponicus,Lapland longspur,Common,6553,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208644/Calcarius_lapponicus_whxbst.png
Circus macrourus,Pallid harrier,Common,7881,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208701/Circus_macrourus_p6dgmk.png
Sylvia nisoria,Barred warbler,Migrating,1158,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208937/Sylvia_nisoria_wxsvaf.png
Gyps fulvus,Eurasian griffon vulture,Common,1129,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208769/Gyps_fulvus_oo7iwn.png
Falco naumanni,Lesser kestrel,Common,85,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208742/Falco_naumanni_zdw519.png
Calidris subruficollis,Buff-breasted sandpiper,Common,628,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208675/Calidris_subruficollis_yp8iv2.png
Merops apiaster,European bee-eater,Migrating,1663,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208838/Merops_apiaster_yct2iz.png
Tringa melanoleuca,Greater yellowlegs,Common,120,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208946/Tringa_melanoleuca_ylk6kw.png
Falco sparverius,American kestrel,Common,160,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208745/Falco_sparverius_keaq60.png
Melanitta perspicillata,Surf scoter,Common,2235,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208834/Melanitta_perspicillata_uvvjd3.png
Phalaropus fulicarius,Red phalarope,Migrating,2314,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208871/Phalaropus_fulicarius_hup6ik.png
Microcarbo pygmaeus,Pygmy cormorant,Migrating,653,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208839/Microcarbo_pygmaeus_s5rzi3.png
Aegolius funereus,Boreal owl,Common,663,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208511/Aegolius_funereus_jqy5d4.png
Oxyura jamaicensis,Ruddy duck,Exotic,1463,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208858/Oxyura_jamaicensis_kzkwfe.png
Tadorna ferruginea,Ruddy shelduck,Migrating,1856,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208940/Tadorna_ferruginea_tchdoh.png
Calidris falcinellus,Broad-billed sandpiper,Common,6099,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208657/Calidris_falcinellus_gtydld.png
Serinus serinus,European serin,Common,4763,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208915/Serinus_serinus_mtluyz.png
Saxicola maurus,Siberian stonechat,Common,295,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208912/Saxicola_maurus_jsdbau.png
Calidris bairdii,Baird's sandpiper,Common,412,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208656/Calidris_bairdii_d5am4p.png
Pinicola enucleator,Pine grosbeak,Common,1122,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208888/Pinicola_enucleator_tadyra.png
Oceanodroma leucorhoa,Leach's storm petrel,Common,1376,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208851/Oceanodroma_leucorhoa_zbdloc.png
Curruca subalpina,Moltoni's warbler,Common,31,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208717/Curruca_subalpina_vlekxb.png
Cairina moschata,Muscovy duck,Common,2247,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208634/Cairina_moschata_zwvpas.png
Curruca cantillans,Eastern subalpine warbler,Common,149,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208714/Curruca_cantillans_ohoazi.png
Anser indicus,Bar-headed goose,Common,3145,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208537/Anser_indicus_psncxt.png
Locustella luscinioides,Savi's warbler,Migrating,3324,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208821/Locustella_luscinioides_gx2y1d.png
Aquila pomarina,Lesser spotted eagle,Common,1661,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208587/Aquila_pomarina_l1fzh8.png
Phylloscopus fuscatus,Dusky warbler,Migrating,768,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208879/Phylloscopus_fuscatus_ae9mih.png
Aquila fasciata,Bonelli's eagle,Extinct,364,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208585/Aquila_fasciata_r2ijpw.png
Bubulcus ibis,Western cattle egret,Migrating,1914,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208624/Bubulcus_ibis_zhtt5h.png
Burhinus oedicnemus,Eurasian stone-curlew,Common,627,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208631/Burhinus_oedicnemus_vn02mm.png
Falco cherrug,Saker falcon,Migrating,305,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208740/Falco_cherrug_ngyl68.png
Glareola pratincola,Collared pratincole,Common,479,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208765/Glareola_pratincola_uue9es.png
Chlidonias leucopterus,White-winged tern,Common,2250,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208691/Chlidonias_leucopterus_kdkklo.png
Puffinus griseus,Sooty shearwater,Common,4333,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208905/Puffinus_griseus_hzswxm.png
Fratercula arctica,Atlantic puffin,Endangered,962,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208751/Fratercula_arctica_qk4wia.png
Bucephala albeola,Bufflehead,Migrating,137,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208625/Bucephala_albeola_lcwifd.png
Larus glaucoides,Iceland gull,Common,2135,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208793/Larus_glaucoides_icbyli.png
Branta ruficollis,Red-breasted goose,Endangered,3386,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208620/Branta_ruficollis_kypjg8.png
Chlidonias hybrida,Whiskered tern,Common,753,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208690/Chlidonias_hybrida_s9rrr2.png
Surnia ulula,Northern hawk-owl,Migrating,3583,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208933/Surnia_ulula_zjwfuq.png
Mareca americana,American wigeon,Common,983,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208828/Mareca_americana_ngkqj2.png
Elanus caeruleus,Black-winged kite,Migrating,1702,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208727/Elanus_caeruleus_opet2o.png
Puffinus puffinus,Unknown,Unknown,1063,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208906/Puffinus_puffinus_hay092.png
Galerida cristata,Crested lark,Migrating,2758,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208754/Galerida_cristata_q4m3lw.png
Zonotrichia albicollis,White-throated sparrow,Common,387,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208964/Zonotrichia_albicollis_ekzemh.png
Upupa epops,Eurasian hoopoe,Migrating,2029,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208957/Upupa_epops_trxslk.png
Gavia pacifica,Pacific loon,Common,737,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208760/Gavia_pacifica_e1yvwx.png
Setophaga aestiva,Yellow warbler,Common,265,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208916/Setophaga_aestiva_e4dzbc.png
Lophodytes cucullatus,Hooded merganser,Common,891,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208822/Lophodytes_cucullatus_r5wc0a.png
Melanitta stejnegeri,Stejneger's scoter,Common,890,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208835/Melanitta_stejnegeri_fkfmk6.png
Phalacrocorax aristotelis,European shag,Common,2346,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208870/Phalacrocorax_aristotelis_zkkogo.png
Melopsittacus undulatus,Budgerigar,Common,239,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208836/Melopsittacus_undulatus_dkztbv.png
Stercorarius pomarinus,Pomarine jaeger,Common,2295,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208924/Stercorarius_pomarinus_xrwsd8.png
Xema sabini,Sabine's gull,Common,815,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208962/Xema_sabini_sblmvr.png
Turdus atrogularis,Black-throated thrush,Migrating,1396,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208950/Turdus_atrogularis_gnoind.png
Hieraaetus pennatus,Booted eagle,Migrating,399,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208773/Hieraaetus_pennatus_gzwe4e.png
Passerina cyanea,Indigo bunting,Migrating,295,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208863/Passerina_cyanea_zh1j4i.png
Grus canadensis,Sandhill crane,Common,900,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208766/Grus_canadensis_aqjmea.png
Phylloscopus schwarzi,Radde's warbler,Migrating,274,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208884/Phylloscopus_schwarzi_qvuims.png
Prunella montanella,Siberian accentor,Migrating,576,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208902/Prunella_montanella_cxi9eg.png
Luscinia megarhynchos,Common nightingale,Common,1365,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208826/Luscinia_megarhynchos_y9di29.png
Emberiza hortulana,Ortolan bunting,Common,724,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208734/Emberiza_hortulana_xkuz4x.png
Cisticola juncidis,Zitting cisticola,Common,156,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208702/Cisticola_juncidis_ao1fz3.png
Lanius senator,Woodchat shrike,Common,732,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208787/Lanius_senator_iqowfr.png
Motacilla tschutschensis,Eastern yellow wagtail,Migrating,51,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208845/Motacilla_tschutschensis_n3wrjc.png
Athene noctua,Little owl,Exotic,1420,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208598/Athene_noctua_zw2znl.png
Emberiza pusilla,Little bunting,Common,1014,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208736/Emberiza_pusilla_zhkjzz.png
Aythya affinis,Lesser scaup,Migrating,772,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208600/Aythya_affinis_ccpeaq.png
Nycticorax nycticorax,Black-crowned night heron,Common,834,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208850/Nycticorax_nycticorax_frvpmv.png
Phylloscopus bonelli,Western Bonelli's warbler,Migrating,585,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208876/Phylloscopus_bonelli_cg2wqj.png
Gypaetus barbatus,Bearded vulture,Endangered,108,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208768/Gypaetus_barbatus_m4sray.png
Anser erythropus,Lesser white-fronted goose,Common,946,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208536/Anser_erythropus_ozxep6.png
Aquila clanga,Greater spotted eagle,Endangered,1269,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208584/Aquila_clanga_rvmjcs.png
Psittacula krameri,Rose-ringed parakeet,Exotic,51,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208903/Psittacula_krameri_mvrzrk.png
Sula leucogaster,Brown booby,Common,128,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208932/Sula_leucogaster_uclape.png
Geronticus eremita,Northern bald ibis,Extinct,402,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208762/Geronticus_eremita_jwyjwa.png
Tringa flavipes,Lesser yellowlegs,Common,615,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208945/Tringa_flavipes_amys8f.png
Sibirionetta formosa,Baikal teal,Common,396,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208917/Sibirionetta_formosa_j3trak.png
Circaetus gallicus,Short-toed snake eagle,Common,1443,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208699/Circaetus_gallicus_wxguy7.png
Monticola saxatilis,Common rock thrush,Endangered,364,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208841/Monticola_saxatilis_whpu3c.png
Actitis macularius,Spotted sandpiper,Common,169,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208509/Actitis_macularius_mnl1th.png
Streptopelia turtur,European turtle dove,Endangered,1405,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208930/Streptopelia_turtur_z810xk.png
Phylloscopus trochiloides,Greenish warbler,Migrating,1909,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208885/Phylloscopus_trochiloides_krnv3g.png
Lanius minor,Lanius,Migrating,236,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208785/Lanius_minor_epesvl.png
Apus caffer,White-rumped swift,Common,84,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208580/Apus_caffer_wh7lyv.png
Gallinago media,Great snipe,Migrating,914,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208756/Gallinago_media_spnq8y.png
Melanocorypha bimaculata,Bimaculated lark,Common,117,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208835/Melanocorypha_bimaculata_bmauce.png
Turdus eunomus,Dusky thrush,Migrating,136,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208951/Turdus_eunomus_y09qmm.png
Phylloscopus plumbeitarsus,Two-barred warbler,Migrating,84,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208882/Phylloscopus_plumbeitarsus_iqeonz.png
Loxia leucoptera,Two-barred crossbill,Common,3305,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208824/Loxia_leucoptera_x4ciol.png
Serinus canaria,Atlantic canary,Common,167,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208915/Serinus_canaria_g1cika.png
Glareola nordmanni,Black-winged pratincole,Common,440,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208764/Glareola_nordmanni_trsdfv.png
Glaucidium passerinum,Eurasian pygmy owl,Common,1727,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208766/Glaucidium_passerinum_ctplcw.png
Branta hutchinsii,Cackling goose,Common,373,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208617/Branta_hutchinsii_djop1p.png
Nymphicus hollandicus,Cockatiel,Exotic,139,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208850/Nymphicus_hollandicus_e6ptbu.png
Pagophila eburnea,Ivory gull,Common,463,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208859/Pagophila_eburnea_y1wau8.png
Vanellus leucurus,White-tailed lapwing,Migrating,156,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208959/Vanellus_leucurus_godrzz.png
Emberiza chrysophrys,Emberiza,Common,92,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208730/Emberiza_chrysophrys_u9nehd.png
Tringa stagnatilis,Marsh sandpiper,Common,1152,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208949/Tringa_stagnatilis_c2rhjl.png
