species,common_name,status,count,url
Haematopus ostralegus,Eurasian oystercatcher,Common,291415,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208770/Haematopus_ostralegus_ntq7kh.png
Turdus philomelos,Song thrush,Endangered,176853,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208954/Turdus_philomelos_y8iqiu.png
Loxia curvirostra,Red crossbill,Common,83105,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208823/Loxia_curvirostra_jw6rbw.png
Cygnus olor,Mute swan,Exotic,524538,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208722/Cygnus_olor_ky6neo.png
Recurvirostra avosetta,Pied avocet,Migrating,96890,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208908/Recurvirostra_avosetta_hodvv1.png
Phylloscopus collybita,Common chiffchaff,Extinct,386182,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208878/Phylloscopus_collybita_rb2lm7.png
Larus argentatus,European herring gull,Common,352729,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208789/Larus_argentatus_y6bttw.png
Buteo buteo,Common buzzard,Common,704021,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208632/Buteo_buteo_sk6ise.png
Mareca penelope,Eurasian wigeon,Common,296676,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208829/Mareca_penelope_fe6gah.png
Ardea cinerea,Unknown,Unknown,495804,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208592/Ardea_cinerea_zyajoj.png
Fulica atra,Eurasian coot,Common,338959,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208753/Fulica_atra_gnimiz.png
Gavia stellata,Red-throated loon,Migrating,104361,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208761/Gavia_stellata_givwxw.png
Pica pica,Unknown,Unknown,271460,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208886/Pica_pica_x95d0n.png
Anas platyrhynchos,Mallard,Extinct,587719,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208528/Anas_platyrhynchos_cvqkld.png
Morus bassanus,Northern gannet,Migrating,104638,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208842/Morus_bassanus_th4g8v.png
Larus canus,Common gull,Common,257730,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208790/Larus_canus_twrc9w.png
Sylvia curruca,Lesser whitethroat,Migrating,125909,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208936/Sylvia_curruca_okfptd.png
Calidris alpina,Dunlin,Common,194010,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208655/Calidris_alpina_ul9avc.png
Columba palumbus,Common wood pigeon,Common,549339,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208708/Columba_palumbus_amddqw.png
Melanitta nigra,Common scoter,Common,139687,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208834/Melanitta_nigra_f0u8kq.png
Mareca strepera,Gadwall,Common,185461,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208830/Mareca_strepera_f4aezu.png
Strix aluco,Tawny owl,Migrating,52980,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208930/Strix_aluco_ooxo4b.png
