species,common_name,status
Lymnocryptes minimus,Jack snipe,Common
Lophophanes cristatus,Crested tit,Common
Gallinula chloropus,Common moorhen,Common
Limosa limosa,Black-tailed godwit,Endangered
Calidris canutus,Red knot,Common
Hippolais icterina,Icterine warbler,Migrating
Riparia riparia,Sand martin,Migrating
Gavia arctica,Black-throated loon,Migrating
Perdix perdix,Grey partridge,Common
Falco subbuteo,Eurasian hobby,Common
Cygnus columbianus,Tundra swan,Common
Lullula arborea,Woodlark,Migrating
Phylloscopus inornatus,Yellow-browed warbler,Migrating
Anser brachyrhynchus,Pink-footed goose,Migrating
Aythya nyroca,Ferruginous duck,Common
Stercorarius parasiticus,Parasitic jaeger,Migrating
Hydroprogne caspia,Caspian tern,Common
Podiceps cristatus,Great crested grebe,Common
Scolopax rusticola,Eurasian woodcock,Endangered
Turdus viscivorus,Mistle thrush,Common
Ichthyaetus melanocephalus,Mediterranean gull,Common
Phylloscopus trochilus,Willow warbler,Migrating
Sterna paradisaea,Arctic tern,Migrating
Calidris temminckii,Temminck's stint,Migrating
Locustella naevia,Common grasshopper warbler,Migrating
Botaurus stellaris,Eurasian bittern,Endangered
Sitta europaea,Eurasian nuthatch,Common
Muscicapa striata,Spotted flycatcher,Migrating
Oenanthe oenanthe,Northern wheatear,Migrating
Anser rossii,Ross's goose,Migrating
Charadrius alexandrinus,Kentish plover,Migrating
Cinclus cinclus,White-throated dipper,Common
Motacilla cinerea,Grey wagtail,Common
Asio flammeus,Short-eared owl,Common
Chlidonias niger,Black tern,Common
Picus viridis,European green woodpecker,Common
Columba oenas,Stock dove,Migrating
Himantopus himantopus,Black-winged stilt,Common
Acrocephalus scirpaceus,Common reed warbler,Migrating
Luscinia svecica,Bluethroat,Migrating
Plectrophenax nivalis,Snow bunting,Common
Alca torda,Razorbill,Extinct
Anthus petrosus,European rock pipit,Migrating
Alle alle,Unknown,Unknown
Certhia familiaris,Eurasian treecreeper,Endangered
Clangula hyemalis,Long-tailed duck,Common
Apus pallidus,Pallid swift,Common
Pandion haliaetus,Osprey,Common
Turdus iliacus,Redwing,Common
Asio otus,Unknown,Unknown
Anser fabalis,Taiga bean goose,Migrating
Coturnix coturnix,Common quail,Migrating
Phylloscopus sibillatrix,Wood warbler,Migrating
Calidris minuta,Little stint,Common
Limosa lapponica,Bar-tailed godwit,Migrating
Streptopelia orientalis,Oriental turtle dove,Common
Egretta garzetta,Little egret,Extinct
Cygnus atratus,Black swan,Exotic
Carpodacus erythrinus,Common rosefinch,Common
Lanius excubitor,Great grey shrike,Common
Milvus migrans,Black kite,Migrating
Caprimulgus europaeus,European nightjar,Migrating
Netta rufina,Red-crested pochard,Migrating
Ciconia ciconia,White stork,Common
Saxicola rubetra,Whinchat,Migrating
Dryobates minor,Lesser spotted woodpecker,Common
Bombycilla garrulus,Bohemian waxwing,Common
Calidris melanotos,Pectoral sandpiper,Migrating
Branta bernicla,Brant (goose),Common
Podiceps nigricollis,Black-necked grebe,Migrating
Aythya collaris,Ring-necked duck,Common
Gavia immer,Common loon,Endangered
Turdus torquatus,Ring ouzel,Migrating
Loxia pytyopsittacus,Parrot crossbill,Common
Eremophila alpestris,Horned lark,Common
Acrocephalus dumetorum,Blyth's reed warbler,Common
Dryocopus martius,Black woodpecker,Migrating
Oenanthe hispanica,Western black-eared wheatear,Migrating
Melanitta americana,Black scoter,Endangered
Phoenicurus ochruros,Black redstart,Common
Jynx torquilla,Eurasian wryneck,Migrating
Locustella fluviatilis,River warbler,Migrating
Oriolus oriolus,Eurasian golden oriole,Common
Glareola maldivarum,Oriental pratincole,Common
Anser serrirostris,Tundra bean goose,Migrating
Porzana pusilla,Baillon's crake,Common
Ficedula parva,Red-breasted flycatcher,Migrating
Aquila nipalensis,Steppe eagle,Endangered
Remiz pendulinus,Eurasian penduline tit,Migrating
Pastor roseus,Rosy starling,Common
Somateria spectabilis,King eider,Common
Nucifraga caryocatactes,Northern nutcracker,Common
Phylloscopus proregulus,Pallas's leaf warbler,Migrating
Circus pygargus,Montagu's harrier,Migrating
Stercorarius longicaudus,Long-tailed jaeger,Common
Larus michahellis,Yellow-legged gull,Common
Podiceps auritus,Horned grebe,Endangered
Phylloscopus humei,Hume's leaf warbler,Migrating
Alopochen aegyptiaca,Egyptian goose,Exotic
Charadrius morinellus,Eurasian dotterel,Migrating
Oxyura leucocephala,White-headed duck,Endangered
Aix galericulata,Mandarin duck,Exotic
Anthus cervinus,Red-throated pipit,Common
Ciconia nigra,Black stork,Endangered
Acrocephalus arundinaceus,Great reed warbler,Migrating
Poecile montanus,Willow tit,Common
Falco rusticolus,Gyrfalcon,Common
Anthus richardi,Richard's pipit,Common
Corvus corone,Carrion crow,Common
Larus hyperboreus,Glaucous gull,Common
Gavia adamsii,Yellow-billed loon,Common
Falco vespertinus,Red-footed falcon,Migrating
Pluvialis dominica,American golden plover,Common
Anser caerulescens,Snow goose,Common
Phalaropus tricolor,Wilson's phalarope,Migrating
Bubo bubo,Eurasian eagle-owl,Common
Plegadis falcinellus,Glossy ibis,Common
Dendrocoptes medius,Middle spotted woodpecker,Common
Calcarius lapponicus,Lapland longspur,Common
Circus macrourus,Pallid harrier,Common
Sylvia nisoria,Barred warbler,Migrating
Gyps fulvus,Eurasian griffon vulture,Common
Falco naumanni,Lesser kestrel,Common
Calidris subruficollis,Buff-breasted sandpiper,Common
Merops apiaster,European bee-eater,Migrating
Tringa melanoleuca,Greater yellowlegs,Common
Falco sparverius,American kestrel,Common
Melanitta perspicillata,Surf scoter,Common
Phalaropus fulicarius,Red phalarope,Migrating
Microcarbo pygmaeus,Pygmy cormorant,Migrating
Aegolius funereus,Boreal owl,Common
Oxyura jamaicensis,Ruddy duck,Exotic
Tadorna ferruginea,Ruddy shelduck,Migrating
Calidris falcinellus,Broad-billed sandpiper,Common
Serinus serinus,European serin,Common
Saxicola maurus,Siberian stonechat,Common
Calidris bairdii,Baird's sandpiper,Common
Pinicola enucleator,Pine grosbeak,Common
Oceanodroma leucorhoa,Leach's storm petrel,Common
Curruca subalpina,Moltoni's warbler,Common
Cairina moschata,Muscovy duck,Common
Curruca cantillans,Eastern subalpine warbler,Common
Anser indicus,Bar-headed goose,Common
Locustella luscinioides,Savi's warbler,Migrating
Aquila pomarina,Lesser spotted eagle,Common
Phylloscopus fuscatus,Dusky warbler,Migrating
Aquila fasciata,Bonelli's eagle,Extinct
Bubulcus ibis,Western cattle egret,Migrating
Burhinus oedicnemus,Eurasian stone-curlew,Common
Falco cherrug,Saker falcon,Migrating
Glareola pratincola,Collared pratincole,Common
Chlidonias leucopterus,White-winged tern,Common
Puffinus griseus,Sooty shearwater,Common
Fratercula arctica,Atlantic puffin,Endangered
Bucephala albeola,Bufflehead,Migrating
Larus glaucoides,Iceland gull,Common
Branta ruficollis,Red-breasted goose,Endangered
Chlidonias hybrida,Whiskered tern,Common
Surnia ulula,Northern hawk-owl,Migrating
Mareca americana,American wigeon,Common
Elanus caeruleus,Black-winged kite,Migrating
Puffinus puffinus,Unknown,Unknown
Galerida cristata,Crested lark,Migrating
Zonotrichia albicollis,White-throated sparrow,Common
Upupa epops,Eurasian hoopoe,Migrating
Gavia pacifica,Pacific loon,Common
Setophaga aestiva,Yellow warbler,Common
Lophodytes cucullatus,Hooded merganser,Common
Melanitta stejnegeri,Stejneger's scoter,Common
Phalacrocorax aristotelis,European shag,Common
Melopsittacus undulatus,Budgerigar,Common
Stercorarius pomarinus,Pomarine jaeger,Common
Xema sabini,Sabine's gull,Common
Turdus atrogularis,Black-throated thrush,Migrating
Hieraaetus pennatus,Booted eagle,Migrating
Passerina cyanea,Indigo bunting,Migrating
Grus canadensis,Sandhill crane,Common
Phylloscopus schwarzi,Radde's warbler,Migrating
Prunella montanella,Siberian accentor,Migrating
Luscinia megarhynchos,Common nightingale,Common
Emberiza hortulana,Ortolan bunting,Common
Cisticola juncidis,Zitting cisticola,Common
Lanius senator,Woodchat shrike,Common
Motacilla tschutschensis,Eastern yellow wagtail,Migrating
Athene noctua,Little owl,Exotic
Emberiza pusilla,Little bunting,Common
Aythya affinis,Lesser scaup,Migrating
Nycticorax nycticorax,Black-crowned night heron,Common
Phylloscopus bonelli,Western Bonelli's warbler,Migrating
Gypaetus barbatus,Bearded vulture,Endangered
Anser erythropus,Lesser white-fronted goose,Common
Aquila clanga,Greater spotted eagle,Endangered
Psittacula krameri,Rose-ringed parakeet,Exotic
Sula leucogaster,Brown booby,Common
Geronticus eremita,Northern bald ibis,Extinct
Tringa flavipes,Lesser yellowlegs,Common
Sibirionetta formosa,Baikal teal,Common
Circaetus gallicus,Short-toed snake eagle,Common
Monticola saxatilis,Common rock thrush,Endangered
Actitis macularius,Spotted sandpiper,Common
Streptopelia turtur,European turtle dove,Endangered
Phylloscopus trochiloides,Greenish warbler,Migrating
Lanius minor,Lanius,Migrating
Apus caffer,White-rumped swift,Common
Gallinago media,Great snipe,Migrating
Melanocorypha bimaculata,Bimaculated lark,Common
Turdus eunomus,Dusky thrush,Migrating
Phylloscopus plumbeitarsus,Two-barred warbler,Migrating
Loxia leucoptera,Two-barred crossbill,Common
Serinus canaria,Atlantic canary,Common
Glareola nordmanni,Black-winged pratincole,Common
Glaucidium passerinum,Eurasian pygmy owl,Common
Branta hutchinsii,Cackling goose,Common
Nymphicus hollandicus,Cockatiel,Exotic
Pagophila eburnea,Ivory gull,Common
