species,common_name,status,url
Loxia curvirostra,Red crossbill,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948027/Loxia_curvirostra_tnoqfi.png
Cygnus olor,Mute swan,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948013/Cygnus_olor_v1ggoz.png
Recurvirostra avosetta,Pied avocet,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947991/Recurvirostra_avosetta_y6tutm.png
Phylloscopus collybita,Common chiffchaff,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948038/Phylloscopus_collybita_ynwroi.png
Larus argentatus,European herring gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948024/Larus_argentatus_iuxqso.png
Buteo buteo,Common buzzard,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948002/Buteo_buteo_rhcc0g.png
Mareca penelope,Eurasian wigeon,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948028/Mareca_penelope_ncclni.png
Ardea cinerea,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947993/Ardea_cinerea_xrq7t4.png
Fulica atra,Eurasian coot,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948019/Fulica_atra_cowuw9.png
Gavia stellata,Red-throated loon,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948020/Gavia_stellata_fanhkh.png
Pica pica,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948040/Pica_pica_e4qjwl.png
Anas platyrhynchos,Mallard,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947972/Anas_platyrhynchos_nzwedi.png
Morus bassanus,Northern gannet,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948030/Morus_bassanus_xzgta4.png
Larus canus,Common gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948025/Larus_canus_l9r5is.png
Sylvia curruca,Lesser whitethroat,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947995/Sylvia_curruca_p32par.png
Calidris alpina,Dunlin,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948002/Calidris_alpina_yt8odn.png
Columba palumbus,Common wood pigeon,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948010/Columba_palumbus_sguikp.png
Melanitta nigra,Common scoter,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948029/Melanitta_nigra_w6yusw.png
Mareca strepera,Gadwall,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948029/Mareca_strepera_ivzwcs.png
Strix aluco,Tawny owl,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948047/Strix_aluco_j1dys5.png
Tyto alba,Western barn owl,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948051/Tyto_alba_az9i2a.png
Motacilla flava,Western yellow wagtail,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948031/Motacilla_flava_tq6di6.png
Falco tinnunculus,Common kestrel,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947976/Falco_tinnunculus_hayuw1.png
Apus apus,Common swift,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947987/Apus_apus_qrmavt.png
Emberiza schoeniclus,Common reed bunting,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947975/Emberiza_schoeniclus_naeto3.png
