,eventDate,decimalLatitude,decimalLongitude,genus,species
100862,2021-03-27,55.71758,12.50708,Turdus,Turdus pilaris
100863,1986-06-21,55.65424,12.44261,Chloris,Chloris chloris
100864,2021-03-28,56.12632,12.26945,Carduelis,Carduelis carduelis
100865,2021-03-27,55.1545,12.09852,Erithacus,Erithacus rubecula
100866,2021-03-28,54.87851,9.6511,Anas,Anas platyrhynchos
100867,2021-03-28,55.90042,9.90056,Chroicocephalus,Chroicocephalus ridibundus
100868,1989-07-25,56.73659,8.23483,Recurvirostra,Recurvirostra avosetta
100869,2021-03-29,56.03909,12.12409,Ardea,Ardea alba
100870,2022-04-05,55.65372,11.77802,Emberiza,Emberiza schoeniclus
100871,2022-04-05,55.39701,12.31158,Fulica,Fulica atra
100872,2022-04-04,56.45099,9.59001,Circus,Circus aeruginosus
100873,2022-04-05,55.57497,12.57907,Dendrocopos,Dendrocopos major
100874,2022-04-06,55.60453,12.37554,Fulica,Fulica atra
100875,2022-04-06,55.70263,12.10791,Tadorna,Tadorna tadorna
100876,2022-04-07,56.56453,8.78941,Mergellus,Mergellus albellus
100877,2022-04-07,56.14688,10.17487,Chloris,Chloris chloris
100878,2022-04-08,54.93759,11.2608,Prunella,Prunella modularis
100880,2022-04-09,55.97604,11.77679,Emberiza,Emberiza schoeniclus
100881,2022-04-09,55.93092,8.50872,Mareca,Mareca strepera
100882,2022-04-10,55.27965,8.55921,Numenius,Numenius arquata
100883,2022-04-10,57.74509,10.63559,Circus,Circus cyaneus
100884,2022-04-10,55.10737,14.94831,Anas,Anas platyrhynchos
100885,2022-04-10,55.55633,11.28477,Calidris,Calidris pugnax
100886,2023-07-24,55.28988,10.8031,Calidris,Calidris ferruginea
100887,2023-07-25,55.47184,9.09594,Corvus,Corvus cornix
100888,2023-07-25,56.9216,10.19868,Circus,Circus aeruginosus
100889,2023-07-25,56.46476,9.53802,Circus,Circus aeruginosus
100890,2023-07-25,55.81772,12.06598,Cyanistes,Cyanistes caeruleus
