species,common_name,status,url,count
Haematopus ostralegus,Eurasian oystercatcher,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948021/Haematopus_ostralegus_lgor2x.png,291415
Turdus philomelos,Song thrush,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948051/Turdus_philomelos_bqpzhm.png,176853
Loxia curvirostra,Red crossbill,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948027/Loxia_curvirostra_tnoqfi.png,83105
Cygnus olor,Mute swan,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948013/Cygnus_olor_v1ggoz.png,524538
Recurvirostra avosetta,Pied avocet,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947991/Recurvirostra_avosetta_y6tutm.png,96890
Phylloscopus collybita,Common chiffchaff,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948038/Phylloscopus_collybita_ynwroi.png,386182
Larus argentatus,European herring gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948024/Larus_argentatus_iuxqso.png,352729
Buteo buteo,Common buzzard,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948002/Buteo_buteo_rhcc0g.png,704021
Mareca penelope,Eurasian wigeon,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948028/Mareca_penelope_ncclni.png,296676
Ardea cinerea,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947993/Ardea_cinerea_xrq7t4.png,495804
Fulica atra,Eurasian coot,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948019/Fulica_atra_cowuw9.png,338959
Gavia stellata,Red-throated loon,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948020/Gavia_stellata_fanhkh.png,104361
Pica pica,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948040/Pica_pica_e4qjwl.png,271460
Anas platyrhynchos,Mallard,Extinct,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947972/Anas_platyrhynchos_nzwedi.png,587719
Morus bassanus,Northern gannet,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948030/Morus_bassanus_xzgta4.png,104638
Larus canus,Common gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948025/Larus_canus_l9r5is.png,257730
Sylvia curruca,Lesser whitethroat,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947995/Sylvia_curruca_p32par.png,125909
Calidris alpina,Dunlin,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948002/Calidris_alpina_yt8odn.png,194010
Columba palumbus,Common wood pigeon,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948010/Columba_palumbus_sguikp.png,549339
Melanitta nigra,Common scoter,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948029/Melanitta_nigra_w6yusw.png,139687
Mareca strepera,Gadwall,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948029/Mareca_strepera_ivzwcs.png,185461
Strix aluco,Tawny owl,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948047/Strix_aluco_j1dys5.png,52980
Tyto alba,Western barn owl,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948051/Tyto_alba_az9i2a.png,3929
Motacilla flava,Western yellow wagtail,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948031/Motacilla_flava_tq6di6.png,97343
Falco tinnunculus,Common kestrel,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947976/Falco_tinnunculus_hayuw1.png,407251
Apus apus,Common swift,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947987/Apus_apus_qrmavt.png,134660
Emberiza schoeniclus,Common reed bunting,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947975/Emberiza_schoeniclus_naeto3.png,216091
Certhia brachydactyla,Short-toed treecreeper,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948005/Certhia_brachydactyla_gdk01q.png,43047
Poecile palustris,Marsh tit,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948041/Poecile_palustris_awtiam.png,131425
Aegithalos caudatus,Long-tailed tit,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948054/Aegithalos_caudatus_htmipu.png,77620
Coccothraustes coccothraustes,Hawfinch,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948010/Coccothraustes_coccothraustes_qhf4az.png,88691
Tringa totanus,Common redshank,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948050/Tringa_totanus_i6bk5w.png,197420
Numenius arquata,Eurasian curlew,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948031/Numenius_arquata_dvjm1a.png,199074
Ardea alba,Great egret,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947965/Ardea_alba_ir5dlg.png,133707
Calidris alba,Sanderling,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947968/Calidris_alba_hwxcxg.png,53846
Sylvia communis,Common whitethroat,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947995/Sylvia_communis_lm2fxf.png,178466
Accipiter nisus,Eurasian sparrowhawk,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947962/Accipiter_nisus_btlri1.png,299108
Mergellus albellus,Smew,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948030/Mergellus_albellus_wmrdmc.png,82627
Cyanistes caeruleus,Eurasian blue tit,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948013/Cyanistes_caeruleus_woiqjr.png,352692
Phalacrocorax carbo,Great cormorant,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947987/Phalacrocorax_carbo_v7gtk9.png,442260
Somateria mollissima,Common eider,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948045/Somateria_mollissima_hryp16.png,232751
Falco columbarius,Merlin (bird),Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948017/Falco_columbarius_yc5hmw.png,64945
Motacilla alba,White wagtail,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948030/Motacilla_alba_os45f0.png,334522
Pluvialis squatarola,Grey plover,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947990/Pluvialis_squatarola_ox47le.png,67265
Anas crecca,Eurasian teal,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947971/Anas_crecca_uq9rs2.png,306621
Branta canadensis,Canada goose,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947999/Branta_canadensis_cmahmm.png,92001
Phalaropus lobatus,Red-necked phalarope,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948036/Phalaropus_lobatus_ddkxxd.png,4394
Aythya ferina,Common pochard,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947997/Aythya_ferina_qh6nmw.png,142638
Milvus milvus,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948030/Milvus_milvus_nca7em.png,253069
Sternula albifrons,Little tern,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948046/Sternula_albifrons_gkbcsq.png,35800
Thalasseus sandvicensis,Sandwich tern,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947996/Thalasseus_sandvicensis_vnhtaw.png,109845
Sterna hirundo,Common tern,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948046/Sterna_hirundo_wrp4rf.png,100599
Aythya fuligula,Tufted duck,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947966/Aythya_fuligula_p6rkei.png,316431
Hydrocoloeus minutus,Little gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948022/Hydrocoloeus_minutus_gphmk5.png,45568
Uria aalge,Common murre,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948052/Uria_aalge_pxrurk.png,33591
Alcedo atthis,Common kingfisher,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947965/Alcedo_atthis_jitcij.png,79198
Calidris ferruginea,Curlew sandpiper,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948003/Calidris_ferruginea_r14fdx.png,35286
Saxicola rubicola,European stonechat,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948044/Saxicola_rubicola_rdwp7z.png,55335
Chroicocephalus ridibundus,Black-headed gull,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947971/Chroicocephalus_ridibundus_wjhpno.png,381955
Pluvialis apricaria,European golden plover,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947989/Pluvialis_apricaria_bhfwu4.png,147389
Circus cyaneus,Hen harrier,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948009/Circus_cyaneus_d0drwf.png,173869
Dendrocopos major,Great spotted woodpecker,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948014/Dendrocopos_major_za9ilh.png,289546
Parus major,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948034/Parus_major_m3q9lk.png,444794
Gallinago gallinago,Common snipe,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948018/Gallinago_gallinago_u8p3jo.png,147524
Acanthis flammea,Redpoll,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947962/Acanthis_flammea_acfccb.png,47172
Tachybaptus ruficollis,Little grebe,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947995/Tachybaptus_ruficollis_lziepa.png,158751
Luscinia luscinia,Common nightingale,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948027/Luscinia_luscinia_rpqiua.png,60988
Buteo lagopus,Rough-legged buzzard,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947968/Buteo_lagopus_tjsfae.png,85210
Calidris pugnax,Ruff (bird),Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947969/Calidris_pugnax_vsgszr.png,97132
Spatula clypeata,Northern shoveler,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948045/Spatula_clypeata_p7pmnj.png,162112
Tringa ochropus,Green sandpiper,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948050/Tringa_ochropus_jfliya.png,76164
Cuculus canorus,Common cuckoo,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947973/Cuculus_canorus_vylctm.png,127717
Fringilla montifringilla,Brambling,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948018/Fringilla_montifringilla_miqapm.png,93020
Branta leucopsis,Barnacle goose,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947967/Branta_leucopsis_ujzmaf.png,256864
Regulus ignicapilla,Common firecrest,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947992/Regulus_ignicapilla_pqdlsa.png,16372
Prunella modularis,Dunnock,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947991/Prunella_modularis_kysapw.png,163253
Fulmarus glacialis,Northern fulmar,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948018/Fulmarus_glacialis_gro9d7.png,14932
Carduelis carduelis,European goldfinch,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948005/Carduelis_carduelis_lqhi8p.png,200153
Fringilla coelebs,Eurasian chaffinch,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947976/Fringilla_coelebs_rsg1rr.png,418333
Anas acuta,Northern pintail,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947970/Anas_acuta_s34tog.png,101363
Regulus regulus,Goldcrest,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947992/Regulus_regulus_bgv3ga.png,133200
Falco peregrinus,Peregrine falcon,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948016/Falco_peregrinus_lpsjgq.png,115222
Calidris maritima,Purple sandpiper,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948004/Calidris_maritima_pzuuid.png,16570
Anthus spinoletta,Water pipit,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947963/Anthus_spinoletta_ipc4op.png,9474
Aythya marila,Greater scaup,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947998/Aythya_marila_zelczj.png,35125
Corvus corax,Common raven,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948011/Corvus_corax_zh2kol.png,247830
Turdus pilaris,Fieldfare,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948051/Turdus_pilaris_srilgw.png,207773
Corvus frugilegus,Rook (bird),Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948011/Corvus_frugilegus_eiabb7.png,210578
Rallus aquaticus,Water rail,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948043/Rallus_aquaticus_agxfys.png,95523
Erithacus rubecula,European robin,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947975/Erithacus_rubecula_bgeoel.png,300008
Spatula querquedula,Garganey,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948045/Spatula_querquedula_kh328j.png,39997
Actitis hypoleucos,Common sandpiper,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948054/Actitis_hypoleucos_lbanpy.png,109180
Tringa nebularia,Common greenshank,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947996/Tringa_nebularia_jjdsra.png,146468
Panurus biarmicus,Bearded reedling,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948034/Panurus_biarmicus_woqwau.png,68714
